Months,Interest Accrued,Loan Remaining
0,0,20000.0
1,33.333333333333336,19666.666666666664
2,66.66666666666667,19499.999999999996
3,100.0,19333.33333333333
4,133.33333333333334,19166.66666666666
5,166.66666666666669,18999.999999999993
6,200.00000000000003,18833.333333333325
7,233.33333333333337,18666.666666666657
8,266.6666666666667,18499.99999999999
9,300.0,18333.33333333332
10,333.3333333333333,18166.666666666653
11,366.66666666666663,17999.999999999985
12,399.99999999999994,17833.333333333318
13,433.33333333333326,17666.66666666665
14,466.6666666666666,17499.99999999998
15,499.9999999999999,17333.333333333314
16,533.3333333333333,17166.666666666646
17,566.6666666666666,16999.999999999978
18,600.0,16833.33333333331
19,633.3333333333334,16666.666666666642
20,666.6666666666667,16499.999999999975
21,700.0000000000001,16333.333333333308
22,733.3333333333335,16166.666666666642
23,766.6666666666669,15999.999999999976
24,800.0000000000002,15833.33333333331
25,833.3333333333336,15666.666666666644
26,866.666666666667,15499.999999999978
27,900.0000000000003,15333.333333333312
28,933.3333333333337,15166.666666666646
29,966.6666666666671,14999.99999999998
30,1000.0000000000005,14833.333333333314
31,1033.3333333333337,14666.666666666648
32,1066.666666666667,14499.999999999982
33,1100.0000000000002,14333.333333333316
34,1133.3333333333335,14166.66666666665
35,1166.6666666666667,13999.999999999984
36,1200.0,13833.333333333318
37,1233.3333333333333,13666.666666666652
38,1266.6666666666665,13499.999999999985
39,1299.9999999999998,13333.33333333332
40,1333.333333333333,13166.666666666653
41,1366.6666666666663,12999.999999999987
42,1399.9999999999995,12833.333333333321
43,1433.3333333333328,12666.666666666655
44,1466.666666666666,12499.999999999989
45,1499.9999999999993,12333.333333333323
46,1533.3333333333326,12166.666666666657
47,1566.6666666666658,11999.99999999999
48,1599.999999999999,11833.333333333325
49,1633.3333333333323,11666.666666666659
50,1666.6666666666656,11499.999999999993
51,1699.9999999999989,11333.333333333327
52,1733.3333333333321,11166.66666666666
53,1766.6666666666654,10999.999999999995
54,1799.9999999999986,10833.333333333328
55,1833.333333333332,10666.666666666662
56,1866.6666666666652,10499.999999999996
57,1899.9999999999984,10333.33333333333
58,1933.3333333333317,10166.666666666664
59,1966.666666666665,9999.999999999998
60,1999.9999999999982,9833.333333333332
61,2033.3333333333314,9666.666666666666
62,2066.6666666666647,9500.0
63,2099.999999999998,9333.333333333334
64,2133.3333333333317,9166.666666666668
65,2166.666666666665,9000.000000000002
66,2199.9999999999986,8833.333333333336
67,2233.333333333332,8666.66666666667
68,2266.6666666666656,8500.000000000004
69,2299.999999999999,8333.333333333338
70,2333.3333333333326,8166.666666666671
71,2366.666666666666,8000.000000000004
72,2399.9999999999995,7833.333333333337
73,2433.333333333333,7666.66666666667
74,2466.6666666666665,7500.000000000003
75,2500.0,7333.333333333336
76,2533.3333333333335,7166.666666666669
77,2566.666666666667,7000.000000000002
78,2600.0000000000005,6833.333333333335
79,2633.333333333334,6666.666666666668
80,2666.6666666666674,6500.000000000001
81,2700.000000000001,6333.333333333334
82,2733.3333333333344,6166.666666666667
83,2766.666666666668,6000.0
84,2800.0000000000014,5833.333333333333
85,2833.333333333335,5666.666666666666
86,2866.6666666666683,5499.999999999999
87,2900.000000000002,5333.333333333332
88,2933.3333333333353,5166.666666666665
89,2966.666666666669,4999.999999999998
90,3000.0000000000023,4833.333333333331
91,3033.3333333333358,4666.666666666664
92,3066.6666666666692,4499.999999999997
93,3100.0000000000027,4333.33333333333
94,3133.333333333336,4166.666666666663
95,3166.6666666666697,3999.999999999997
96,3200.000000000003,3833.3333333333303
97,3233.3333333333367,3666.666666666664
98,3266.66666666667,3499.9999999999973
99,3300.0000000000036,3333.3333333333308
100,3333.333333333337,3166.6666666666642
101,3366.6666666666706,2999.9999999999977
102,3400.000000000004,2833.333333333331
103,3433.3333333333376,2666.6666666666647
104,3466.666666666671,2499.999999999998
105,3500.0000000000045,2333.3333333333317
106,3533.333333333338,2166.666666666665
107,3566.6666666666715,1999.9999999999984
108,3600.000000000005,1833.3333333333317
109,3633.3333333333385,1666.666666666665
110,3666.666666666672,1499.9999999999982
111,3700.0000000000055,1333.3333333333314
112,3733.333333333339,1166.6666666666647
113,3766.6666666666724,999.9999999999981
114,3800.000000000006,833.3333333333314
115,3833.3333333333394,666.6666666666648
116,3866.666666666673,499.9999999999981
117,3900.0000000000064,333.33333333333144
118,3933.33333333334,166.66666666666478
119,3933.33333333334,0
