Months,Interest Accrued,Loan Remaining
0,0,5000.0
1,0,5063.333333333334
2,0,5095.000000000001
3,0,5126.666666666668
4,0,5158.333333333335
5,0,5190.000000000002
6,0,5221.666666666669
7,0,5253.333333333336
8,0,5285.000000000003
9,0,5316.66666666667
10,0,5348.333333333337
11,0,5380.000000000004
12,0,5411.666666666671
13,0,5443.333333333338
14,0,5475.000000000005
15,0,5506.6666666666715
16,0,5538.3333333333385
17,0,5570.0000000000055
18,0,5601.666666666672
19,0,5633.333333333339
20,0,5665.000000000006
21,0,5696.666666666673
22,0,5728.33333333334
23,0,5760.000000000007
24,0,5791.666666666674
25,0,5823.333333333341
26,0,5855.000000000008
27,0,5886.666666666675
28,0,5918.333333333342
29,0,5950.000000000009
30,0,5981.666666666676
