December	City				
Day	Tokyo 	Sydney 	Houston El Paso	Stockholm
1	51.8065	64.129	63.6774	57	33.8065
2	51.8065	64.129	63.4194	56.4194	33.9355
3	51.0323	64.5806	62.6452	55.2581	33.8065
4	51.4839	65.8065	63.3548	54.5484	33.3548
5	52	64.8065	63.5161	56.6774	33.0323
6	50.6452	65.7419	60.9032	55.4516	33.0323
7	51.3226	65.5806	61.9677	54.5161	32.6452
8	52	66.3226	61.9355	56.2258	33.2258
9	51.4194	65.1613	61.3871	55.5484	34
10	51.6774	67.5484	61.0968	50.2258	34
11	50.5806	64.7097	59.7419	55.9355	32.2258
12	50.8387	68.6452	64	48.871	33.2258
13	47.8065	66.0968	63.1613	52.8065	31.4839
14	47.0323	69.871	63.0968	48.871	30.8387
15	49.0968	64.9677	57.7097	55.5484	32.5484
16	48.9032	68.6452	60.9032	47.7097	33.4839
17	49.8065	65.0968	56.3226	52.0645	31.2581
18	49.0968	69.2258	62.2581	48.2903	29.9355
19	48.3226	68.2903	54.1935	54.5484	29.7097
20	47.4839	64.6452	59.4839	57	33.3548
21	47.2581	74.1613	55.871	49.5484	29.2581
22	52	64.7097	61.871	44.9355	31.1613
23	47.5484	64.7419	52.129	47.3548	31.0323
24	48.9032	65.5484	54.7097	46.9355	30.9032
25	47.1613	64	52.7097	53.7742	34
26	41.9355	68.1935	58.9677	47.7742	33.1613
27	52	68.3548	51.8065	37.8387	29.6452
28	52	73.0323	54.9677	47.9677	31.2903
29	46.3871	72.4194	64	46.7097	30.2581
30	41.3548	73.6774	48.5161	52.1613	30.129
31	44	71	58	41	27
