time (Sec)	Al-28 Counts	Al-29 Counts
0	2000	1000
10	1899.549755	982.5473851
20	1804.144636	965.3993639
30	1713.53125	948.5506206
40	1627.468933	931.9959319
50	1545.729107	915.7301657
60	1468.094673	899.7482798
70	1394.359438	884.0453195
80	1324.327564	868.616417
90	1257.81305	853.4567892
100	1194.639236	838.5617365
110	1134.638334	823.9266414
120	1077.650984	809.546967
130	1023.525831	795.4182555
140	972.1191212	781.536127
150	923.2943192	767.8962779
160	876.9217489	754.4944799
170	832.8782466	741.3265783
180	791.0468346	728.3884909
190	751.3164104	715.6762071
200	713.5814516	703.1857858
210	677.7417357	690.9133551
220	643.702074	678.8551104
230	611.3720585	667.0073135
240	580.6658219	655.3662917
250	551.5018099	643.9284362
260	523.8025639	632.6902012
270	497.4945159	621.6481027
280	472.5077929	610.7987178
290	448.7760311	600.138683
300	426.2361999	589.6646936
310	404.8284346	579.3735028
320	384.4958768	569.2619202
330	365.1845243	559.3268111
340	346.8430868	549.5650956
350	329.4228503	539.9737476
360	312.8775472	530.5497937
370	297.1632341	521.2903125
380	282.2381743	512.1924334
390	268.0627274	503.2533361
400	254.599244	494.4702494
410	241.8119658	485.8404506
420	229.6669302	477.3612643
430	218.1318805	469.0300619
440	207.17618	460.8442609
450	196.770731	452.8013235
460	186.8878969	444.8987563
470	177.5014294	437.1341096
480	168.5863984	429.5049764
490	160.1191259	422.0089914
500	152.0771231	414.643831
510	144.439031	407.4072119
520	137.184563	400.2968907
530	130.2944515	393.3106632
540	123.7503967	386.4463636
550	117.5350178	379.7018641
560	111.6318072	373.0750736
570	106.025086	366.563938
580	100.699963	360.1664388
590	95.64229506	353.8805926
600	90.83864907	347.7044509
610	86.27626679	341.636099
620	81.94303071	335.6736557
630	77.82743195	329.8152727
640	73.91853965	324.0591337
650	70.20597194	318.4034545
660	66.67986839	312.8464816
670	63.33086383	307.3864924
680	60.15006343	302.0217943
690	57.12901913	296.7507243
700	54.25970714	291.5716481
710	51.5345067	286.4829604
720	48.94617979	281.4830836
730	46.48785191	276.5704678
740	44.15299385	271.7435899
750	41.93540432	267.0009537
760	39.8291935	262.3410888
770	37.82876738	257.7625508
780	35.9288129	253.2639203
790	34.12428387	248.8438026
800	32.41038753	244.5008276
810	30.78257185	240.2336488
820	29.2365134	236.0409434
830	27.76810593	231.9214117
840	26.37344941	227.8737766
850	25.04883968	223.8967833
860	23.79075864	219.989199
870	22.59586487	216.1498122
880	21.46098479	212.3774328
890	20.3831042	208.6708912
900	19.35936029	205.0290385
910	18.38703405	201.4507457
920	17.46354301	197.9349034
930	16.58643442	194.4804217
940	15.75337872	191.0862298
950	14.96216335	187.7512754
960	14.21068686	184.4745247
970	13.49695337	181.2549619
980	12.81906723	178.0915888
990	12.17522801	174.9834249
1000	11.56372569	171.9295066
1010	10.98293615	168.9288871
1020	10.43131684	165.9806363
1030	9.90740267	163.0838402
1040	9.409802157	160.2376007
1050	8.937193691	157.4410355
1060	8.488322042	154.6932778
1070	8.061995028	151.9934756
1080	7.657080339	149.340792
1090	7.272502541	146.7344046
1100	6.90724021	144.1735056
1110	6.560323224	141.6573009
1120	6.230830186	139.1850106
1130	5.917885976	136.7558682
1140	5.620659428	134.3691207
1150	5.338361119	132.0240282
1160	5.070241278	129.7198636
1170	4.815587789	127.4559128
1180	4.573724302	125.2314738
1190	4.344008438	123.0458572
1200	4.125830082	120.8983852
1210	3.918609761	118.7883922
1220	3.721797105	116.7152242
1230	3.53486939	114.6782383
1240	3.357330141	112.6768032
1250	3.188707823	110.7102983
1260	3.028554582	108.7781141
1270	2.876445057	106.8796516
1280	2.731975252	105.0143222
1290	2.59476146	103.1815476
1300	2.464439248	101.3807598
1310	2.340662484	99.61140046
1320	2.223102424	97.87292104
1330	2.111446833	96.16478264
1340	2.005399157	94.48645572
1350	1.904677738	92.83741999
1360	1.809015066	91.21716425
1370	1.718157062	89.62518621
1380	1.631862413	88.06099234
1390	1.549901924	86.52409776
1400	1.47205791	85.014026
1410	1.398123621	83.53030894
1420	1.32790269	82.07248662
1430	1.261208615	80.64010712
1440	1.197864258	79.23272638
1450	1.137701379	77.84990812
1460	1.080560188	76.49122365
1470	1.02628892	75.15625178
1480	0.974743433	73.84457865
1490	0.925786825	72.55579766
1500	0.879289068	71.28950926
1510	0.835126667	70.04532091
1520	0.793182328	68.8228469
1530	0.753344648	67.62170825
1540	0.715507821	66.44153262
1550	0.679571353	65.28195413
1560	0.645439798	64.14261333
1570	0.613022505	63.02315699
1580	0.582233375	61.9232381
1590	0.552990632	60.84251568
1600	0.52521661	59.78065468
1610	0.498837541	58.73732593
1620	0.473783365	57.712206
1630	0.449987537	56.70497709
1640	0.427386858	55.71532696
1650	0.405921301	54.74294882
1660	0.385533854	53.78754121
1670	0.366170369	52.84880797
1680	0.347779417	51.92645807
1690	0.330312153	51.02020559
1700	0.313722185	50.12976959
1710	0.29796545	49.25487403
1720	0.283000098	48.39524768
1730	0.268786384	47.55062406
1740	0.255286555	46.72074133
1750	0.242464756	45.90534222
1760	0.230286934	45.10417396
1770	0.218720745	44.31698818
1780	0.207735468	43.54354085
1790	0.197301929	42.7835922
1800	0.187392415	42.03690664
1810	0.177980608	41.30325269
1820	0.169041511	40.58240293
1830	0.16055138	39.87413388
1840	0.152487667	39.17822597
1850	0.144828955	38.49446348
1860	0.137554903	37.82263444
1870	0.130646192	37.16253056
1880	0.124084471	36.51394723
1890	0.117852313	35.87668337
1900	0.111933166	35.25054143
1910	0.106311309	34.6353273
1920	0.10097181	34.03085027
1930	0.095900489	33.43692294
1940	0.091083875	32.8533612
1950	0.086509176	32.27998414
1960	0.082164242	31.71661401
1970	0.078037533	31.16307616
1980	0.074118089	30.61919899
1990	0.070395498	30.0848139
2000	0.066859876	29.55975523
2010	0.06350183	29.0438602
2020	0.060312443	28.5369689
2030	0.057283243	28.03892417
2040	0.054406185	27.54957162
2050	0.051673628	27.06875956
2060	0.049078314	26.59633892
2070	0.04661335	26.13216326
2080	0.044272188	25.67608867
2090	0.042048612	25.22797379
2100	0.039936716	24.78767967
2110	0.037930889	24.35506985
2120	0.036025806	23.93001019
2130	0.034216405	23.51236894
2140	0.032497882	23.10201662
2150	0.030865672	22.69882602
2160	0.02931544	22.30267215
2170	0.027843068	21.9134322
2180	0.026444647	21.5309855
2190	0.025116461	21.15521351
2200	0.023854984	20.78599971
2210	0.022656864	20.42322966
2220	0.02151892	20.0667909
2230	0.02043813	19.71657292
2240	0.019411622	19.37246717
2250	0.018436671	19.03436696
2260	0.017510687	18.70216748
2270	0.016631211	18.37576576
2280	0.015795906	18.05506059
2290	0.015002555	17.73995257
2300	0.01424905	17.43034401
2310	0.013533389	17.12613893
2320	0.012853673	16.82724302
2330	0.012208096	16.53356363
2340	0.011594943	16.24500971
2350	0.011012585	15.96149181
2360	0.010459477	15.68292204
2370	0.009934148	15.40921404
2380	0.009435205	15.14028296
2390	0.00896132	14.87604543
2400	0.008511237	14.61641954
