Time (s),KCGx (g),KCGy (g),KCGz (g),IMSepOutletDp (psid)
0.27,0.10284,0.001773,1.717192,35.319837
0.401,0.105418,0.004501,1.724444,35.175701
0.531,0.105802,0.003841,1.721805,35.376879
0.661,0.107292,0.00143,1.718747,35.23265
0.781,0.108206,-0.000128,1.715691,35.020133
0.911,0.107507,0.001642,1.721956,34.364821
1.052,0.111223,0.001099,1.740949,33.760406
1.182,0.112639,-0.005652,1.76604,35.131945
1.302,0.113079,-0.001633,1.77281,34.312764
1.442,0.111492,-0.000349,1.743565,35.678854
1.562,0.114732,-0.006885,1.740154,34.609453
1.733,0.115427,0.003339,1.753046,34.911637
1.853,0.117609,-0.002529,1.758444,33.855013
1.983,0.11475,0.003059,1.7735,34.255467
2.113,0.118552,-0.000189,1.76013,34.47494
2.243,0.119742,0.014092,1.736761,35.114137
2.373,0.11758,0.007083,1.751273,35.829158
2.504,0.122192,0.009147,1.750256,34.166588
2.624,0.119863,0.020191,1.758104,35.98832
2.754,0.119521,0.010558,1.740965,34.222726
2.884,0.124019,0.014295,1.733804,33.891997
3.014,0.122095,0.009001,1.735684,34.081025
3.135,0.123787,0.010326,1.751081,34.684118
3.265,0.123709,0.010028,1.753007,34.115644
3.395,0.124001,0.002774,1.737704,32.681776
3.525,0.124785,0.002283,1.736243,33.118311
3.655,0.125388,-0.001284,1.740569,34.206912
3.775,0.12387,-0.001181,1.74722,34.272209
3.886,0.126909,-0.004501,1.74351,33.415742
4.036,0.126293,-0.00343,1.733598,35.875812
4.166,0.127169,-0.011411,1.732887,35.583784
4.276,0.130038,-0.020896,1.746019,36.238586
4.416,0.126255,-0.017743,1.749017,35.43624
4.547,0.129523,-0.020063,1.739619,33.953561
4.667,0.130219,-0.020942,1.738131,34.665127
4.807,0.130032,-0.02326,1.723369,34.646832
4.937,0.132295,-0.021173,1.725623,35.106763
5.047,0.132127,-0.020356,1.725152,34.468772
5.187,0.133454,-0.023558,1.733247,35.159145
5.318,0.136654,-0.023485,1.741675,34.090903
5.528,0.141132,-0.019296,1.774273,34.187735
5.648,0.144515,-0.012601,1.797263,34.476656
5.768,0.146888,-0.006946,1.80335,34.344787
5.909,0.149926,-0.001179,1.80797,34.17104
6.039,0.150643,0.002233,1.80359,33.398606
6.209,0.151258,0.007629,1.79191,34.84372
6.349,0.153268,0.007029,1.790834,35.076225
6.479,0.152773,0.011404,1.778884,33.929144
6.589,0.152287,0.005957,1.773018,33.261682
6.74,0.15319,0.003863,1.754948,34.998661
6.87,0.152044,-0.001305,1.750318,36.215885
6.98,0.152583,-0.005575,1.745683,34.745635
7.12,0.151987,-0.011876,1.734991,34.635841
7.25,0.151625,-0.018563,1.722222,35.87558
7.361,0.151355,-0.018191,1.703799,33.619749
7.511,0.151532,-0.021782,1.707178,34.30182
7.641,0.15193,-0.023478,1.693162,34.905817
7.751,0.151902,-0.017696,1.689038,36.290226
7.891,0.153538,-0.021858,1.682912,35.062521
8.022,0.156654,-0.018625,1.687783,34.776035
8.222,0.162562,-0.019554,1.707312,33.513757
8.352,0.163685,-0.013151,1.725859,34.967984
8.522,0.170132,-0.01367,1.746288,35.162437
8.652,0.17524,-0.005889,1.759547,35.921979
8.783,0.177402,-0.008588,1.764725,34.64507
8.913,0.178124,-0.00448,1.762202,34.717114
9.023,0.180383,-0.001595,1.767516,35.575181
9.163,0.187041,-0.001089,1.770511,33.642705
9.293,0.177845,0.006209,1.743202,35.165869
9.404,0.184733,0.002452,1.731741,34.070011
9.554,0.181624,0.005989,1.727655,34.572955
9.684,0.182569,0.004006,1.722714,33.487021
9.794,0.188434,0.001344,1.72533,35.104375
9.934,0.18273,0.000405,1.717199,35.963532
10.064,0.187899,-0.001731,1.703274,33.897447
10.225,0.18843,-0.001387,1.702785,35.86983
10.355,0.185807,-0.003714,1.694816,34.558092
10.485,0.192023,-0.000615,1.697356,35.310051
10.605,0.188903,-0.003332,1.691846,34.737821
10.735,0.188205,-0.009717,1.69125,35.294353
10.866,0.187799,-0.00756,1.678438,35.458662
10.996,0.180298,-0.004853,1.629735,36.202158
11.116,0.170927,-0.003737,1.543206,35.357331
11.246,0.155303,-0.00572,1.448755,35.200581
11.376,0.1353,0.000476,1.336781,35.331778
11.507,0.120506,0.000072,1.204456,34.462419
11.617,0.105232,-0.004594,1.077441,37.28044
11.757,0.091208,-0.001589,0.956213,34.520644
