April 	City				
Day	Tokyo 	Sydney 	Houston El Paso	Stockholm
1	50.2903	76.7742	54.3548	45.0968	27.129
2	50.4516	76.4194	55.0323	45.9677	27.1935
3	50.1935	76.9032	54	45.0968	27.7742
4	51.2903	75.8387	55.4194	48.0968	27.3871
5	51.4516	76.1935	55.129	45.6452	27.6452
6	50.9677	76.2258	54.1935	48.4839	28.7419
7	50.6774	76.3226	55.3548	47.0323	28.3548
8	51.8065	74.9355	55.8065	51.7097	28.8065
9	53.4839	74.6774	58.9355	49.0645	28.1613
10	52.9032	76.3548	55.6129	50.4839	30.2258
11	52.8387	72.3871	56.8387	53.871	27.3548
12	53.871	76.2258	56.7097	50.0323	27.3871
13	52.0968	74.0645	59.0323	54.6452	27
14	55.871	76.0968	62.129	46.3548	31.5161
15	51.9355	72.6452	61.7419	49.3548	30.871
16	54.6452	70.2903	57.0968	47.0645	28.5484
17	52.7419	70.4194	55.6452	52.129	30.2903
18	55.8065	77	61.5484	45.5806	31.6452
19	55.5161	73.9355	58.9032	46.2258	33.129
20	53.871	77	63.6774	53.3871	31.5161
21	51.3548	72.2581	64.8387	57.871	33.0968
22	57.0968	67.7742	62.5161	54.2258	33.3871
23	58.1613	72.5484	57.7097	63.5484	32.1935
24	60.0645	68.4839	66.3871	65.129	30.871
25	54.8387	76.1935	63.6774	51.4516	28.6129
26	52.5161	71.129	62.3871	62.6129	33.7097
27	56.9677	67.4194	54	58.9355	33.0968
28	59.0323	68.871	64.8387	45.9032	31.5161
29	56.5484	70.4516	63.3548	51.5484	36.3548
30	52.9032	75.0645	69.4839	65.3226	30.871
31	58	77	70	48	29
