August	City				
Day	Tokyo 	Sydney 	Houston El Paso	Stockholm
1	73.0323	63.6129	75	72.1613	67.5806
2	73.129	63.0968	75.7097	72.129	67.3548
3	73.871	63.9032	75	72.0968	68
4	73.9032	62.0645	76.4194	74.4516	67.0968
5	73.1613	63.6774	77.4194	73.129	66.7097
6	74.9355	63.6129	76.3548	74.7097	66.2581
7	74.129	61.0645	75.2258	75.3871	66.4194
8	75.5806	63.2258	76.0323	72.2581	67.2258
9	73.871	60.5161	75.871	72.2903	65.9677
10	74.6129	63.0323	80.8065	76.5161	65.7419
11	73.7097	59.0323	75.7097	72.7097	64.0968
12	76.0968	62.8387	76.9355	76.6452	65.6774
13	73	60.6452	80.0323	79.129	64.2258
14	77.9677	63.0968	80.4194	80.129	66.6452
15	75.4194	61.0968	78.871	82.6452	62.1935
16	74.0323	59.3548	75	81.2903	68
17	73	60.7097	77.1935	79.6774	66.3548
18	75.3226	59.3548	83.7097	84.1935	62.1935
19	75.4516	62.7742	86.0323	74.4516	66.1613
20	76.2258	64	84.6774	72.6452	66.0645
21	78.4194	61.9677	86.5161	78.0968	63.9355
22	73.7097	63.2903	76.4194	74.129	62.3226
23	73	54.3548	80.9355	85.3548	66.5161
24	77.6452	63.2258	75.7742	88.2581	64.9032
25	81.0645	55.9355	87.9032	80.0645	62.3548
26	78.871	53.0968	81.7097	88.7742	57.0968
27	77.3548	57.9032	77.6129	82.4516	65.3871
28	82.9355	60.3871	84.0323	78.3226	59.871
29	76.7419	60.2581	91.8387	92.5806	67.0645
30	77.8387	56.2581	87.5806	76.8387	56.3871
31	80	55	87	84	60
