February	City				
Day	Tokyo 	Sydney 	Houston El Paso	Stockholm
1	47.6774	66	48.2258	37.5806	23.1613
2	47.2903	66.0645	48.7742	37.9032	23.129
3	47.0323	67.0645	49.6452	37.1935	23.6774
4	47.6129	67.4194	49.4194	37.7742	23.7742
5	46.0645	67.2903	49.6129	40.7097	23
6	45.6774	66.5806	48.5806	40.871	23
7	47.0968	67.3548	50.9355	39.9355	24.3548
8	46.7097	69.0968	49.8065	37	24.8065
9	46.2581	67.1613	48.5806	39.6129	23
10	45.4194	68.2581	52.8387	39.5806	23.9677
11	44.4516	67.4194	52.2581	43.3871	24.7742
12	45.6774	66	50.7097	46.6774	23.3871
13	46.3226	69.7742	48.8387	44.129	23
14	47.5484	68.2581	51.6129	48.2903	25.7097
15	44.6129	66	54.7742	40.871	23.9677
16	44.9032	66	55.2258	44.7419	26.6129
17	42.5161	73.129	54.5806	37	24.6452
18	42.7742	72.3871	49.1613	46.2903	24.1613
19	46.7742	70.9032	59.0323	43.129	24.2258
20	40.2581	71.8065	52.5161	42.1613	26.2258
21	42.5806	68.0323	55.4516	39.0323	23
22	43.0323	74.5161	48.7097	39.129	26.5484
23	45.7742	72.6774	52.4516	41.4516	25.2258
24	41.0323	72.1935	58.0645	38.5484	23
25	44.7742	73.2581	48.8065	37	28.6452
26	41.2903	72.7097	51.3548	45.3871	27.1935
27	37.5484	77.3226	59.3226	38.7419	27.3548
28	42.5806	69.6129	55.2258	54.1613	24.8065
