January	City				
Day	Tokyo 	Sydney 	Houston El Paso	Stockholm
1	46	66.2258	62.6452	58.5806	29.8387
2	45.4839	66.3871	62.0323	58.4194	29.871
3	45.3226	66.7742	62.8065	56.7742	29.5161
4	45.871	66.7742	60.9355	56.5484	29.6129
5	45.5161	66.8065	62.3548	55.7742	30
6	44.6452	67.9355	60.4839	55.9032	29.4194
7	45.5484	68.2581	59.1613	57.871	29.7742
8	44.1935	68.8387	60.1613	58.2258	28.4516
9	43.3871	68.3226	58.0645	58.129	27.9677
10	43.0968	66.6452	62.0323	51.5806	28.0645
11	43.5161	68.129	60.5161	57.9355	29.2903
12	42.129	66.3871	56.8065	57.0645	28.0645
13	43.4839	70.6129	57.129	55.2258	28.3226
14	41.9355	69.1613	56.2258	50.4194	28.6452
15	45.0323	69.871	58.6452	46.9032	28.5484
16	45.4839	68.0645	59.9032	56.9355	28.4516
17	43.8065	73.129	60.2581	49.129	30
18	45.4194	72.3871	63	50.2903	26.5161
19	42.9355	69.6774	60.5484	51.6452	25.7097
20	44.7097	71.8065	63	53.1935	30
21	40.5806	70.7419	51.4839	58.3226	29.3226
22	44.5806	68.129	52.3548	49.7742	29.2903
23	38.5806	66	51.871	40.4516	27.7742
24	46	76.0645	57.5806	48.1613	29.2258
25	41.1613	68.4194	59.7742	46.0968	27.5806
26	43.4839	68.5161	55.4516	54.8065	26.6452
27	38.1613	70.3548	49.0645	52.9032	28.2581
28	43.2903	68.7097	58.4839	37.3226	30
29	41.3226	72.5484	54.5806	35.6129	30
30	36.3226	74.7097	52.3548	45.4516	30
31	38	74	49	45	24
