July	City				
Day	Tokyo 	Sydney 	Houston El Paso	Stockholm
1	72.1613	62.8387	75.4194	72.4516	55.3548
2	72.6452	62.0323	75.129	73.4839	55.3226
3	72.3871	61.6452	76.2581	74.8065	56.2581
4	73.2903	62.7419	76.0323	72.3871	57.0645
5	72.4839	60.7419	76.6129	72.4839	55.6452
6	73.7419	61.6452	75.3871	72.7742	56.5484
7	73.3548	59.8387	75.2258	73.3548	58.3871
8	74.3226	59.129	77.5806	74.8387	59.3871
9	74.3226	62.4194	75	74.3226	57.6129
10	73.6129	63	76.2903	75.5484	55
11	74.129	57.6774	78.5484	73.0645	57.4839
12	73.9355	59.9032	76.5484	80.129	56.9355
13	74.5161	61.7419	77.0968	81.6452	57.9355
14	76.0645	59.8387	78.6129	77.871	57.7097
15	75.3871	62.0323	76.4516	73.9355	55.9677
16	74.5806	55.2581	82.7419	82.8387	60.6774
17	72.5484	63	81.0323	77.4839	57.1935
18	73.1613	60.0968	82.5484	82.4516	59.0645
19	73.2258	53.1935	83.5806	84.2581	59.2903
20	77.1613	61.7097	82.0968	73.9355	64.6774
21	74.0323	58.9355	80.4194	89.6129	61.0968
22	78.3871	52.3548	82.0968	77.6774	62.8065
23	78.6774	58.5484	80.9355	89.0645	58.7097
24	72	58.3548	87.3871	85.1613	63.5161
25	72	61.3871	85.4839	72.8065	67.9032
26	74.5161	55.4516	75.8387	87.0968	60.871
27	75.4839	52.5484	76.7419	75.4839	57.6129
28	78.3226	61.1935	76.8065	96.3871	65.8387
29	72.9355	61.129	84.3548	88.8387	57.8065
30	81.6774	57.1935	79.8387	98.129	58.871
31	81	61	86	88	71
