June	City				
Day	Tokyo 	Sydney 	Houston El Paso	Stockholm
1	64.2258	63.6452	73.2258	72.6129	52.06451613
2	64.5161	63.6774	73.5806	72.0645	52.06451613
3	64.2903	62.6452	73.5806	72.0968	52.48387097
4	64.5161	63.7419	73.129	73.5484	53.41935484
5	65.129	62.7097	74.7742	74.2581	53.61290323
6	64.9677	62.4516	75.9032	72.3871	53.16129032
7	66.4839	63.3226	73.9032	77.6452	54.25806452
8	64	60.9032	73.5161	76.3871	54.06451613
9	66.6129	61.9677	74.7419	75.1935	52.29032258
10	64.9677	64	73.3226	75.2258	53.93548387
11	66.8387	60.4516	74.0645	76.6129	57.67741935
12	67.4839	60.5161	76.0968	80.129	58.58064516
13	68.6129	60.2258	80.129	73.6774	56.19354839
14	68.5161	61.7419	75.2581	75.1613	56.51612903
15	64.4839	62.5484	75.9032	73.9355	55.38709677
16	65.5484	60.9032	73.5161	78.1935	53.03225806
17	68.9355	62.9032	75.1935	75.2903	59.67741935
18	65.7419	63.4194	77.0645	78.3871	58.96774194
19	67.0645	62.1613	83.4194	87.3226	55.06451613
20	67.871	64	82.6774	81.0323	59.74193548
21	65.3548	62.6452	77.0645	83.5161	59.4516129
22	65.4194	59.7419	77.2581	76.9677	54.12903226
23	67.7097	60.2903	84.871	76.4516	53.48387097
24	69.4194	59.3548	77.6452	72	65.16129032
25	68.8387	55.129	77.0323	83.2903	59.25806452
26	71.5484	56.4516	78.0323	89.6129	64.58064516
27	67.4839	55.2903	76.4839	73.7419	64.19354839
28	64	62.1935	81.129	91.871	54.70967742
29	71.4839	60.2581	74.871	78.5484	66.03225806
30	66.9032	55.2903	79.7742	81.6774	61.67741935
31	69	56	82	82	68
