March	City				
Day	Tokyo 	Sydney 	Houston El Paso	Stockholm
1	41.2581	64	54.5161	45.8065	27.0323
2	41.2581	64.3226	54.1935	46.6774	27.4516
3	42.0645	64.3871	54.871	47.2258	27.9677
4	42.5484	65.1613	55.4194	46.2903	27
5	42.2903	64.1613	56.7419	46.4516	27.9677
6	42.3548	64.9677	55.7419	49.0645	27
7	43.7097	65.5806	57.1613	50.1935	27.4516
8	42.8065	65.5484	54.7742	47.8387	27.2581
9	41	67.4839	56.3226	45.871	28.1613
10	41.6452	67.5484	55.9355	45.6452	27.6452
11	43.4839	65.7742	56.4839	52.0968	27.3548
12	42.9355	69.0323	57.871	46.5484	28.9355
13	42.2581	66.0968	61.5484	55.0645	31.1935
14	41.9032	68.9677	60.7742	48.6129	27.9032
15	42.4516	68.8387	60.2903	51.2903	29.4194
16	46.6774	64	58.129	47.0645	29.0645
17	47.5806	69.4839	56.7419	45.5484	31.3871
18	41.5806	67.4839	62.7097	48.4839	27
19	41.6129	65.2258	60.129	60.9355	28.8387
20	42.2903	71.0968	54	50.1613	27
21	43.0323	65.3548	64.8387	57.1935	32.4194
22	49.5161	72.5161	66.7742	53.5161	32.6774
23	48.4194	72.9032	59.9355	60.5806	28.4839
24	49.5161	74.0645	62.5161	55.8387	32.4194
25	49.871	64.8065	58.0323	51.4516	34.2581
26	50.2258	66.5161	69.0968	47.5161	29.5161
27	46.2258	69.2258	66.1935	51.0968	28.7419
28	51.8387	75.7419	62.129	48.6129	34.2258
29	43.8065	76.1613	54.9355	58.0968	33.5484
30	49.7097	70.7742	66.5806	62.4194	34.7419
31	48	70	65	56	31
