May	City				
Day	Tokyo 	Sydney 	Houston El Paso	Stockholm
1	57.2903	67.6452	70.0323	63.7097	43.4194
2	57.1935	67.4194	70.129	63.7097	43.7097
3	58.2581	66.9355	70.4839	64.9355	44.3548
4	57.129	67.4839	71.8065	63.7742	43.3871
5	57	67.0323	71.4516	66.871	45.2581
6	58.9355	67.8065	70.5806	65.5161	43.5806
7	57	65.2903	70.6774	64.5806	44.129
8	58.2903	67.4839	73.0968	68.1613	45.8387
9	60.7742	65.9677	72.9032	66.4839	44.4516
10	57.9677	65.4194	74.5161	64.2903	43.3226
11	57	65.1613	70	69.0323	44.7742
12	59.7097	65.6774	70	71.129	46.871
13	62.4516	65.9032	72.0968	63.8387	43
14	57	64.3871	70.4516	64.8065	43.4516
15	60.871	65.0968	76.7742	74.6129	45.4194
16	58.5484	61.2903	72.5806	67.6452	45.5806
17	61.9355	64.7097	73.8387	70.129	44.0968
18	59.9032	65.6774	72.9032	75.7742	44.1613
19	63.7419	61.871	74.9032	63.6129	43.6129
20	65.3871	62.1935	70	70.7419	47.5161
21	59.0323	68	72.0323	65.7097	50.4516
22	65.5161	58.0645	72.8387	67.9677	53.6452
23	59.9677	64.2903	70.7419	78.5806	50.4194
24	58.5484	64.129	77.7419	67.6452	53.0645
25	59.4194	56.7097	71.6129	77.5161	47.0323
26	58.6774	58.7742	74.1935	64.6774	51.3871
27	61.3548	58.4194	73.4839	64.7419	56.0645
28	61.5161	68	80.8387	86.4839	49.3226
29	68.2258	61.4516	78.4194	66.7419	45.8065
30	63.7742	61.2258	81.6129	63.9677	44.9355
31	68	58	74	78	47
