November 	City				
Day	Tokyo 	Sydney 	Houston El Paso	Stockholm
1	57.7742	59.871	71.3548	63.9355	38.7419
2	58.3548	59.2581	71.871	63.2903	36.5484
3	57.8387	56.3548	68.2258	60.3871	38.3226
4	52.9355	55.7097	70.7097	59.1613	34.4839
5	51.0968	57.2903	68.2903	58.9032	32.7097
6	54.1613	51.7097	63.6774	64.0645	32.6129
7	46.3548	49.7097	60.4839	62.6129	31.0968
8	51.2581	49.3871	66.0645	60.3226	33.8387
9	50.2903	51.129	58.6452	57.5806	36.9677
10	54.4839	43.5806	60.7097	61.1613	29.6452
11	56.1613	42.5484	51.7742	60.3226	31.9032
12	56.6774	59.4516	55.3548	53.2258	24.2903
13	44.7419	50.9355	47.2581	62.6452	34.3871
14	55.8387	40.6774	57.0968	59.6774	25
15	35.2903	44.5484	47.3226	50.0323	28.8387
16	37.3226	56.871	41.5484	56.7097	38.4839
17	32.129	47.8387	53.9032	51.7419	37.9032
18	49.129	43.5806	40.6452	42.7742	21.5806
19	40	51.1935	64.6452	59.871	24.9032
20	24.8065	54.5484	65.5484	59.5484	20.2903
21	59	46.7742	44.9032	35.5161	39
22	31.3226	31.9032	34.3871	58.1935	36.871
23	57.5161	43.1935	67.5484	25.9355	27.871
24	49.7097	20.7419	57.2903	29.6129	18.871
25	24.3226	48.0968	31.6774	32.9355	28.5161
26	52.2903	28.2903	27.5484	29.9355	36.4839
27	55.5161	20.9355	38.0323	51.1935	12
28	39.129	58.2903	25.9355	47.9355	8.29032
29	42.1613	33.871	20.5484	56.6452	5.32258
30	58.0323	36.8065	18.7742	59.2258	9.96774
31	18	48	54	5	31
