October	City				
Day	Tokyo 	Sydney 	Houston El Paso	Stockholm
1	67.8065	57.0323	80.7097	78.4194	49.8065
2	67.4194	57.1935	80.6774	78.8065	49.9355
3	68	57.5806	79.4516	77.8387	50
4	67.871	58.4194	79.3226	77.7097	49.6129
5	68	57.3226	78.0968	78.0323	49.8387
6	67.4194	57	78.871	74.3548	48.8387
7	66.871	58.3548	79.1935	78.7742	47.9677
8	67.4839	57	79.7097	76.6774	49.7419
9	66.2581	59.0323	77.2258	72.6129	48.2581
10	68	58.9355	78.0968	77.7097	48.0645
11	64.8065	59.129	75.3226	74.3871	49.6452
12	66.8387	59.3226	77.129	70.0968	50
13	64.6452	57	77.2258	71.871	49.5806
14	64.8387	58.8065	73.7742	76.2903	48.1935
15	66.5484	58.9355	80.5161	76.5806	46.6129
16	66.9677	64.7419	77.3871	69.1935	48.4516
17	65.8065	63.5806	74.9677	74.0645	48.3548
18	62.7742	57.5806	76.3548	78.4194	46.5161
19	68	59.4516	72.4194	68.5806	45.7097
20	65.4194	60.2258	77.7742	65.4516	48.7097
21	66.6452	65.129	76.2581	77.6452	49.3226
22	64.4516	59.129	76.7419	70.4839	47.871
23	63.5484	65.1613	78.7742	79	44.0645
24	65.6774	63.1935	75.5806	72.0323	49.2258
25	67.1935	57.8065	67.2903	67.7097	43.5484
26	64.6452	67.0645	80.1613	75.6452	44.9677
27	67.129	68.3226	73.1613	63.3226	47.3871
28	68	64.2258	66.5484	70.871	49.0968
29	65.1935	69.1613	79.129	72.4516	43.4516
30	61.2258	60.871	81	72.2258	50
31	67	66	67	62	47
