September	City				
Day	Tokyo 	Sydney 	Houston El Paso	Stockholm
1	78.9677	54.129	87.8387	64.0968	58.6774
2	79	54.7097	87.871	65.5484	58.4839
3	79	54.7742	87.3226	65.4516	58.0323
4	78.871	54.9032	87.3548	66.4516	57.8387
5	79	55.7742	85.7419	66.2581	57.2258
6	79	55.9355	86.0645	68.4516	59
7	78.7742	54.6774	85.5161	64.6774	59
8	78.7419	56.3226	83.871	69.1613	58.2258
9	79	57.7742	85.3871	69.5161	57.8387
10	78.6774	58.1935	87.3548	68.1935	57.7097
11	78.6452	54.7097	82.6774	64	55.4516
12	78.6129	57.0968	84.129	70.5806	54.7419
13	78.5806	59.871	88	72.3871	56.0645
14	78.5484	58.5161	81.2258	65.3548	54.0323
15	78.5161	55.9355	84.6129	69.8065	53.6774
16	79	57.0968	84.3871	75.3548	57.9677
17	79	61.129	82.5161	70.0323	57.9032
18	79	60.9677	81.6129	64	54.9355
19	79	57.6774	86.1613	74.4194	56.5484
20	78.3548	55.2903	81.5484	66.5806	51.9032
21	79	55.3548	79.871	64	52.2258
22	78.2903	54.7097	80.1935	74.6452	56.871
23	78.2581	62.9032	87.2581	67.7097	59
24	78.2258	63.2903	85.6774	77.1613	57.4516
25	78.1935	65.2903	83.9677	65.6129	54.9677
26	78.1613	54	74.5806	67.3548	59
27	78.129	60.0968	83.6452	74.4516	50.2903
28	78.0968	62.129	81.6774	70.3226	53.5806
29	78.0645	63.3548	87.0645	81.7742	52.4516
30	78.0323	67.5484	77.3548	85.2903	57.0645
31	79	67	80	67	54
