Time GX GY GZ
s m/s^2 m/s^2 m/s^2
0.27 1.01 0.02 16.85
0.401 1.03 0.04 16.92
0.531 1.04 0.04 16.89
0.661 1.05 0.01 16.86
0.781 1.06 -0.00 16.83
0.911 1.05 0.02 16.89
1.052 1.09 0.01 17.08
1.182 1.10 -0.06 17.32
1.302 1.11 -0.02 17.39
1.442 1.09 -0.00 17.10
1.562 1.13 -0.07 17.07
1.733 1.13 0.03 17.20
1.853 1.15 -0.02 17.25
1.983 1.13 0.03 17.40
2.113 1.16 -0.00 17.27
2.243 1.17 0.14 17.04
2.373 1.15 0.07 17.18
2.504 1.20 0.09 17.17
2.624 1.18 0.20 17.25
2.754 1.17 0.10 17.08
2.884 1.22 0.14 17.01
3.014 1.20 0.09 17.03
3.135 1.21 0.10 17.18
3.265 1.21 0.10 17.20
3.395 1.22 0.03 17.05
3.525 1.22 0.02 17.03
3.655 1.23 -0.01 17.07
3.775 1.22 -0.01 17.14
3.886 1.24 -0.04 17.10
4.036 1.24 -0.03 17.01
4.166 1.25 -0.11 17.00
4.276 1.28 -0.20 17.13
4.416 1.24 -0.17 17.16
4.547 1.27 -0.20 17.07
4.667 1.28 -0.21 17.05
4.807 1.28 -0.23 16.91
4.937 1.30 -0.21 16.93
5.047 1.30 -0.20 16.92
5.187 1.31 -0.23 17.00
5.318 1.34 -0.23 17.09
5.528 1.38 -0.19 17.41
5.648 1.42 -0.12 17.63
5.768 1.44 -0.07 17.69
5.909 1.47 -0.01 17.74
6.039 1.48 0.02 17.69
6.209 1.48 0.07 17.58
6.349 1.50 0.07 17.57
6.479 1.50 0.11 17.45
6.589 1.49 0.06 17.39
6.74 1.50 0.04 17.22
6.87 1.49 -0.01 17.17
6.98 1.50 -0.05 17.13
7.12 1.49 -0.12 17.02
7.25 1.49 -0.18 16.89
7.361 1.48 -0.18 16.71
7.511 1.49 -0.21 16.75
7.641 1.49 -0.23 16.61
7.751 1.49 -0.17 16.57
7.891 1.51 -0.21 16.51
8.022 1.54 -0.18 16.56
8.222 1.59 -0.19 16.75
8.352 1.61 -0.13 16.93
8.522 1.67 -0.13 17.13
8.652 1.72 -0.06 17.26
8.783 1.74 -0.08 17.31
8.913 1.75 -0.04 17.29
9.023 1.77 -0.02 17.34
9.163 1.83 -0.01 17.37
9.293 1.74 0.06 17.10
9.404 1.81 0.02 16.99
9.554 1.78 0.06 16.95
9.684 1.79 0.04 16.90
9.794 1.85 0.01 16.93
9.934 1.79 0.00 16.85
10.064 1.84 -0.02 16.71
10.225 1.85 -0.01 16.70
10.355 1.82 -0.04 16.63
10.485 1.88 -0.01 16.65
10.605 1.85 -0.03 16.60
10.735 1.85 -0.10 16.59
10.866 1.84 -0.07 16.47
10.996 1.77 -0.05 15.99
11.116 1.68 -0.04 15.14
11.246 1.52 -0.06 14.21
11.376 1.33 0.00 13.11
11.507 1.18 0.00 11.82
11.617 1.03 -0.05 10.57
11.757 0.89 -0.02 9.38
11.887 0.77 -0.03 8.40
12.007 0.65 -0.05 7.43
12.147 0.56 -0.07 6.52
12.278 0.48 -0.05 5.58
12.388 0.44 -0.04 4.86
12.528 0.38 -0.07 4.27
12.658 0.33 -0.05 3.82
12.828 0.30 -0.06 3.21
12.939 0.27 -0.04 2.83
13.089 0.25 -0.05 2.58
13.209 0.21 -0.05 2.41
13.329 0.18 -0.07 2.31
13.469 0.16 -0.09 2.21
13.6 0.13 -0.10 2.11
13.76 0.12 -0.12 2.02
13.88 0.10 -0.07 2.05
14.01 0.07 -0.03 2.12
14.14 0.06 -0.07 2.05
14.271 0.06 -0.01 1.88
14.401 0.05 -0.02 1.73
14.521 0.05 0.01 1.70
14.651 0.03 0.03 1.66
14.781 0.04 0.04 1.61
14.911 0.02 0.08 1.49
15.042 0.02 0.03 1.39
15.162 0.02 0.07 1.25
15.292 0.01 0.03 1.21
15.422 0.00 0.05 1.10
15.532 0.01 0.05 1.03
15.683 -0.00 0.03 0.87
15.803 0.00 0.05 0.69
15.923 0.00 0.04 0.57
16.063 0.01 0.05 0.44
16.193 0.00 0.05 0.40
16.303 -0.00 0.04 0.42
16.444 -0.01 0.04 0.39
16.574 -0.01 0.02 0.26
16.694 -0.01 0.02 0.08
16.834 0.01 -0.01 -0.02
16.964 -0.00 0.01 -0.11
17.075 0.01 0.00 -0.02
17.225 -0.01 -0.00 0.03
17.345 -0.01 0.03 0.04
17.465 0.00 0.03 0.01
17.605 0.01 0.03 0.01
17.736 0.01 0.04 0.03
17.926 0.00 0.04 0.15
18.056 0.01 0.05 0.25
18.176 0.01 0.00 0.25
18.296 0.01 0.04 0.22
18.437 0.01 0.03 0.25
18.567 0.00 0.01 0.23
18.677 0.01 0.00 0.29
18.817 -0.00 0.01 0.31
18.947 0.00 0.01 0.30
19.067 0.01 -0.00 0.30
19.208 -0.01 0.02 0.31
19.338 0.01 -0.01 0.32
19.448 -0.00 -0.00 0.31
19.598 -0.00 0.01 0.25
19.718 0.01 -0.03 0.18
19.839 0.01 -0.01 0.08
19.979 0.00 -0.02 0.05
20.109 0.01 0.00 0.03
20.229 0.01 -0.02 -0.04
20.369 0.01 -0.01 -0.07
20.489 0.01 -0.00 -0.10
20.61 0.00 -0.01 -0.08
20.75 0.01 -0.00 -0.11
20.88 0.01 -0.00 -0.14
21.04 0.01 0.00 -0.21
21.17 0.03 -0.01 -0.24
21.291 0.02 -0.01 -0.23
21.421 0.01 -0.00 -0.24
21.551 0.02 -0.01 -0.21
21.681 0.02 0.01 -0.26
21.811 0.03 0.04 -0.30
21.932 0.03 0.03 -0.18
22.062 0.02 0.00 -0.19
22.192 0.03 0.03 -0.20
22.322 0.03 0.03 -0.25
22.432 0.03 0.02 -0.28
22.572 0.03 0.05 -0.24
22.703 0.02 0.03 -0.20
22.813 0.02 0.04 -0.17
22.963 0.03 0.04 -0.19
23.083 0.02 0.02 -0.15
23.203 0.02 0.05 -0.11
